operator_name;marker_time;vehicle_id;longitude_x;latitude_y;vehicle_type;vehicle_activity;coordonnees_xy
WIND;2019-10-31T15:16:11+01:00;S0024205;2.356182;48.860287;scooter;parking;48.860287,2.356182
WIND;2019-10-31T15:16:11+01:00;S0024303;2.340356;48.875061;scooter;parking;48.875061,2.340356
WIND;2019-10-31T15:16:11+01:00;S0024399;2.362264;48.864964;scooter;parking;48.864964,2.362264
WIND;2019-10-31T15:16:11+01:00;S0025561;2.361101;48.858746;scooter;parking;48.858746,2.361101
WIND;2019-10-31T15:16:11+01:00;S0024255;2.341443;48.867649;scooter;parking;48.867649,2.341443
WIND;2019-10-31T15:16:11+01:00;S0025723;2.335676;48.866234;scooter;parking;48.866234,2.335676
WIND;2019-10-31T15:16:11+01:00;S0025724;2.338653;48.850025;scooter;parking;48.850025,2.338653
WIND;2019-10-31T15:16:11+01:00;S0024938;2.336821;48.869293;scooter;parking;48.869293,2.336821
WIND;2019-10-31T15:16:11+01:00;S0024298;2.336982;48.871578;scooter;parking;48.871578,2.336982
WIND;2019-10-31T15:16:11+01:00;S0024804;2.338759;48.853573;scooter;parking;48.853573,2.338759
WIND;2019-10-31T15:16:11+01:00;S0024149;2.359379;48.864655;scooter;parking;48.864655,2.359379
WIND;2019-10-31T15:16:11+01:00;S0025482;2.325335;48.869202;scooter;parking;48.869202,2.325335
WIND;2019-10-31T15:16:11+01:00;S0024684;2.334659;48.871059;scooter;parking;48.871059,2.334659
WIND;2019-10-31T15:16:11+01:00;S0025684;2.336804;48.851871;scooter;parking;48.851871,2.336804
WIND;2019-10-31T15:16:11+01:00;S0024926;0.633102;48.753532;scooter;parking;48.753532,0.633102
WIND;2019-10-31T15:16:11+01:00;S0025627;2.313613;48.876148;scooter;parking;48.876148,2.313613
